date,tickers
2012-01-09,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-10,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-11,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-12,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-13,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-14,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-15,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-16,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-17,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
2012-01-18,AFKS;AFLT;AKRN;APTK;AVAZ;AVAZP;BANE;BANEP;BEGY;BLNG;BSPB;CHMF;CHZN;DGBZ;DGBZP;DIXY;DVEC;EONR;FEES;FESH;GAZA;GAZP;GCHE;GMKN;GRAZ;HYDR;IRAO;IRGZ;KMAZ;KOGK;KRSG;KZOS;LKOH;LSNG;LSRG;MAGN;MGNT;MMBM;MRKC;MRKH;MRKP;MRKU;MRKV;MSNG;MSRS;MSSB;MSTT;MTLR;MTSS;MVID;NKNC;NKNCP;NLMK;NMTP;NVTK;OGKA;OGKB;OGKC;OGKE;PHOR;PHST;PIKK;PRTK;RASP;RBCM;ROSB;ROSN;ROST;RTKM;RTKMP;RUALR;SBER;SBERP;SIBN;SNGS;SNGSP;SVAV;SYNG;TATN;TATNP;TGKA;TGKD;TGKE;TGKF;TGKI;TNBP;TNBPP;TRCN;TRMK;TRNFP;UNAC;URKA;VRAO;VRPH;VSMO;VSMZ;VTBR;VTGK;VZRZ;WTCM
